reference,country_name,hdi_category,indicator_name,values
,Lithuania,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.7
,Estonia,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.5
,Latvia,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.5
,Uruguay,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,1.9
,Croatia,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.4
,Costa Rica,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,1.0
,Bahamas,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Seychelles,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Cuba,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Mexico,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,1.6
,Bulgaria,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.4
,Saint Kitts and Nevis,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Tonga,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Libyan Arab Jamahiriya,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Antigua and Barbuda,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Oman,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Trinidad and Tobago,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.2
,Romania,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.3
,Saudi Arabia,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Panama,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,0.7
,Malaysia,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,1.7
,Belarus,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.4
,Mauritius,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Bosnia and Herzegovina,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.9
,Russian Federation,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.4
,Albania,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.4
,Macedonia (TFYR),HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.4
,Brazil,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,0.9
,Dominica,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Saint Lucia,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Kazakhstan,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.0
,Venezuela (Bolivarian Republic of),MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,0.7
,Colombia,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,0.7
,Ukraine,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.9
,Samoa,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Thailand,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.7
,Dominican Republic,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,1.4
,Belize,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,China,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,1.6
,Grenada,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Armenia,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.6
,Turkey,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.0
,Suriname,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Jordan,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.7
,Peru,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,1.3
,Lebanon,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Ecuador,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,0.9
,Philippines,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.2
,Tunisia,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.3
,Fiji,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Saint Vincent and the Grenadines,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Iran (Islamic Republic of),MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.0
,Paraguay,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,0.7
,Georgia,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.0
,Guyana,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Azerbaijan,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.1
,Sri Lanka,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.0
,Maldives,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Jamaica,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.1
,Cape Verde,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,El Salvador,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,0.7
,Algeria,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.8
,Viet Nam,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,4.2
,Occupied Palestinian Territories,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Indonesia,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.6
,Syrian Arab Republic,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Turkmenistan,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.6
,Nicaragua,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.2
,Moldova,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.2
,Egypt,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.7
,Uzbekistan,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.8
,Mongolia,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.0
,Honduras,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,1.2
,Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.8
,Bolivia,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,0.3
,Guatemala,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,0.9
,Gabon,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Vanuatu,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,South Africa,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,1.4
,Tajikistan,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.3
,Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Botswana,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,1.2
,Namibia,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,0.5
,Morocco,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.6
,Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,India,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.6
,Solomon Islands,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.4
,Cambodia,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.9
,Myanmar,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Bhutan,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Comoros,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Ghana,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.1
,Pakistan,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,4.0
,Mauritania,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.5
,Lesotho,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,0.5
,Congo,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Bangladesh,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.7
,Swaziland,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,1.6
,Nepal,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.6
,Madagascar,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,1.9
,Cameroon,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.3
,Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,1.7
,Haiti,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,0.7
,Sudan,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Kenya,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.5
,Djibouti,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Timor-Leste,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Zimbabwe,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,1.8
,Togo,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Yemen,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.0
,Uganda,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.3
,Gambia,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,1.8
,Senegal,LOW HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.7
,Eritrea,LOW HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Nigeria,LOW HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,1.9
,Tanzania (United Republic of),LOW HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.9
,Guinea,LOW HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.9
,Rwanda,LOW HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.1
,Angola,LOW HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,..
,Benin,LOW HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,3.1
,Malawi,LOW HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,2.9
,Zambia,LOW HUMAN DEVELOPMENT,Share of income or expenditure Poorest 10%,1.2
,Côte d'Ivoire,,Share of income or expenditure Poorest 10%,2.0
,Burundi,,Share of income or expenditure Poorest 10%,1.7
,Congo (Democratic Republic of the),,Share of income or expenditure Poorest 10%,..
,Ethiopia,,Share of income or expenditure Poorest 10%,3.9
,Chad,,Share of income or expenditure Poorest 10%,..
,Central African Republic,,Share of income or expenditure Poorest 10%,0.7
,Mozambique,,Share of income or expenditure Poorest 10%,2.1
,Mali,,Share of income or expenditure Poorest 10%,2.4
,Niger,,Share of income or expenditure Poorest 10%,0.8
,Guinea-Bissau,,Share of income or expenditure Poorest 10%,2.1
,Burkina Faso,,Share of income or expenditure Poorest 10%,2.8
,Sierra Leone,,Share of income or expenditure Poorest 10%,0.5
,Iceland,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Norway,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,9.6
,Australia,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,5.9
,Canada,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,7.2
,Ireland,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,7.4
,Sweden,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,9.1
,Switzerland,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,7.6
,Japan,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,10.6
,Netherlands,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,7.6
,France,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,7.2
,Finland,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,9.6
,United States,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,5.4
,Spain,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,7.0
,Denmark,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,8.3
,Austria,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,8.6
,United Kingdom,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,6.1
,Belgium,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,8.5
,Luxembourg,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,New Zealand,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,6.4
,Italy,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,6.5
,"Hong Kong, China (SAR)",HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,5.3
,Germany,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,8.5
,Israel,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,5.7
,Greece,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,6.7
,Singapore,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,5.0
,Korea (Republic of),HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,7.9
,Slovenia,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,9.1
,Cyprus,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Portugal,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,5.8
,Brunei Darussalam,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Barbados,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Czech Republic,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,10.3
,Kuwait,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Malta,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Qatar,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Hungary,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,9.5
,Poland,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,7.5
,Argentina,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,3.1
,United Arab Emirates,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Chile,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,3.8
,Bahrain,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Slovakia,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,8.8
,Lithuania,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,6.8
,Estonia,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,6.7
,Latvia,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,6.6
,Uruguay,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,5.0
,Croatia,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,8.3
,Costa Rica,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,3.5
,Bahamas,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Seychelles,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Cuba,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Mexico,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,4.3
,Bulgaria,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,8.7
,Saint Kitts and Nevis,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Tonga,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Libyan Arab Jamahiriya,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Antigua and Barbuda,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Oman,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Trinidad and Tobago,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,5.9
,Romania,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,8.1
,Saudi Arabia,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Panama,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,2.5
,Malaysia,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,4.4
,Belarus,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,8.5
,Mauritius,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Bosnia and Herzegovina,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,9.5
,Russian Federation,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,6.1
,Albania,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,8.2
,Macedonia (TFYR),HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,6.1
,Brazil,HIGH HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,2.8
,Dominica,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Saint Lucia,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Kazakhstan,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,7.4
,Venezuela (Bolivarian Republic of),MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,3.3
,Colombia,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,2.5
,Ukraine,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,9.2
,Samoa,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Thailand,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,6.3
,Dominican Republic,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,4.0
,Belize,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,China,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,4.3
,Grenada,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Armenia,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,8.5
,Turkey,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,5.3
,Suriname,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Jordan,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,6.7
,Peru,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,3.7
,Lebanon,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Ecuador,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,3.3
,Philippines,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,5.4
,Tunisia,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,6.0
,Fiji,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Saint Vincent and the Grenadines,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Iran (Islamic Republic of),MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,5.1
,Paraguay,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,2.4
,Georgia,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,5.6
,Guyana,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Azerbaijan,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,7.4
,Sri Lanka,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,7.0
,Maldives,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Jamaica,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,5.3
,Cape Verde,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,El Salvador,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,2.7
,Algeria,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,7.0
,Viet Nam,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,9.0
,Occupied Palestinian Territories,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Indonesia,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,8.4
,Syrian Arab Republic,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Turkmenistan,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,6.1
,Nicaragua,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,5.6
,Moldova,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,7.8
,Egypt,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,8.6
,Uzbekistan,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,7.2
,Mongolia,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,7.5
,Honduras,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,3.4
,Kyrgyzstan,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,8.9
,Bolivia,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,1.5
,Guatemala,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,2.9
,Gabon,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Vanuatu,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,South Africa,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,3.5
,Tajikistan,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,7.9
,Sao Tome and Principe,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Botswana,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,3.2
,Namibia,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,1.4
,Morocco,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,6.5
,Equatorial Guinea,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,India,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,8.1
,Solomon Islands,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Lao People's Democratic Republic,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,8.1
,Cambodia,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,6.8
,Myanmar,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Bhutan,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Comoros,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Ghana,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,5.6
,Pakistan,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,9.3
,Mauritania,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,6.2
,Lesotho,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,1.5
,Congo,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Bangladesh,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,8.6
,Swaziland,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,4.3
,Nepal,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,6.0
,Madagascar,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,4.9
,Cameroon,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,5.6
,Papua New Guinea,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,4.5
,Haiti,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,2.4
,Sudan,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Kenya,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,6.0
,Djibouti,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Timor-Leste,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Zimbabwe,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,4.6
,Togo,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Yemen,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,7.4
,Uganda,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,5.7
,Gambia,MEDIUM HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,4.8
,Senegal,LOW HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,6.6
,Eritrea,LOW HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,..
,Nigeria,LOW HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,5.0
,Tanzania (United Republic of),LOW HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,7.3
,Guinea,LOW HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,7.0
,Rwanda,LOW HUMAN DEVELOPMENT,Share of income or expenditure Poorest 20%,5.3
